name	entity	label	dataType	idAttribute	nillable
value	genomicvariantannotations_codingvariantquality	Value (English)	String	TRUE	FALSE
description	genomicvariantannotations_codingvariantquality	Description (English)	Text	FALSE	TRUE
codesystem	genomicvariantannotations_codingvariantquality	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	genomicvariantannotations_codingvariantquality	The code within the code system	String	FALSE	TRUE
iri	genomicvariantannotations_codingvariantquality	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
