name	entity	label	dataType	idAttribute	nillable
value	genomicvariantobservations_alleleorigin	Value (English)	String	TRUE	FALSE
description	genomicvariantobservations_alleleorigin	Description (English)	Text	FALSE	TRUE
codesystem	genomicvariantobservations_alleleorigin	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	genomicvariantobservations_alleleorigin	The code within the code system	String	FALSE	TRUE
iri	genomicvariantobservations_alleleorigin	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
