name	entity	label	dataType	idAttribute	nillable
value	sequencingruns_sequencingmethod	Value (English)	String	TRUE	FALSE
description	sequencingruns_sequencingmethod	Description (English)	Text	FALSE	TRUE
codesystem	sequencingruns_sequencingmethod	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	sequencingruns_sequencingmethod	The code within the code system	String	FALSE	TRUE
iri	sequencingruns_sequencingmethod	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
