name	entity	label	dataType	idAttribute	nillable
value	sequencingrun_sequencingmethod	Value (English)	String	TRUE	FALSE
description	sequencingrun_sequencingmethod	Description (English)	Text	FALSE	TRUE
codesystem	sequencingrun_sequencingmethod	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	sequencingrun_sequencingmethod	The code within the code system	String	FALSE	TRUE
iri	sequencingrun_sequencingmethod	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
