name	entity	label	dataType	idAttribute	nillable
value	ngssamplepreparation_targetenrichmentkit	Value (English)	String	TRUE	FALSE
description	ngssamplepreparation_targetenrichmentkit	Description (English)	Text	FALSE	TRUE
codesystem	ngssamplepreparation_targetenrichmentkit	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	ngssamplepreparation_targetenrichmentkit	The code within the code system	String	FALSE	TRUE
iri	ngssamplepreparation_targetenrichmentkit	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
