name	entity	label	dataType	idAttribute	nillable
value	ngssamplepreparations_librarypreparationkit	Value (English)	String	TRUE	FALSE
description	ngssamplepreparations_librarypreparationkit	Description (English)	Text	FALSE	TRUE
codesystem	ngssamplepreparations_librarypreparationkit	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	ngssamplepreparations_librarypreparationkit	The code within the code system	String	FALSE	TRUE
iri	ngssamplepreparations_librarypreparationkit	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
