name	entity	label	dataType	idAttribute	nillable
value	genomicvariantobservations_zygosity	Value (English)	String	TRUE	FALSE
description	genomicvariantobservations_zygosity	Description (English)	Text	FALSE	TRUE
codesystem	genomicvariantobservations_zygosity	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	genomicvariantobservations_zygosity	The code within the code system	String	FALSE	TRUE
iri	genomicvariantobservations_zygosity	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
