name	entity	label	dataType	idAttribute	nillable
value	sequencingrun_reasonforsequencing	Value (English)	String	TRUE	FALSE
description	sequencingrun_reasonforsequencing	Description (English)	Text	FALSE	TRUE
codesystem	sequencingrun_reasonforsequencing	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	sequencingrun_reasonforsequencing	The code within the code system	String	FALSE	TRUE
iri	sequencingrun_reasonforsequencing	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
