name	entity	label	dataType	idAttribute	nillable
value	genomicvariantannotations_gene	Value (English)	String	TRUE	FALSE
description	genomicvariantannotations_gene	Description (English)	Text	FALSE	TRUE
codesystem	genomicvariantannotations_gene	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	genomicvariantannotations_gene	The code within the code system	String	FALSE	TRUE
iri	genomicvariantannotations_gene	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
