name	entity	label	dataType	idAttribute	nillable
value	signedconsent_datausepermissions	Value (English)	String	TRUE	FALSE
description	signedconsent_datausepermissions	Description (English)	Text	FALSE	TRUE
codesystem	signedconsent_datausepermissions	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	signedconsent_datausepermissions	The code within the code system	String	FALSE	TRUE
iri	signedconsent_datausepermissions	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
