name	entity	label	dataType	idAttribute	nillable
value	ngssamplepreparations_targetenrichmentkit	Value (English)	String	TRUE	FALSE
description	ngssamplepreparations_targetenrichmentkit	Description (English)	Text	FALSE	TRUE
codesystem	ngssamplepreparations_targetenrichmentkit	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	ngssamplepreparations_targetenrichmentkit	The code within the code system	String	FALSE	TRUE
iri	ngssamplepreparations_targetenrichmentkit	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
