name	entity	label	dataType	idAttribute	nillable
value	ngsanalysis_dataformatsstored	Value (English)	String	TRUE	FALSE
description	ngsanalysis_dataformatsstored	Description (English)	Text	FALSE	TRUE
codesystem	ngsanalysis_dataformatsstored	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	ngsanalysis_dataformatsstored	The code within the code system	String	FALSE	TRUE
iri	ngsanalysis_dataformatsstored	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
