name	entity	label	dataType	idAttribute	nillable
value	sequencing_sequencingfacilityorganization	Value (English)	String	TRUE	FALSE
description	sequencing_sequencingfacilityorganization	Description (English)	Text	FALSE	TRUE
codesystem	sequencing_sequencingfacilityorganization	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	sequencing_sequencingfacilityorganization	The code within the code system	String	FALSE	TRUE
iri	sequencing_sequencingfacilityorganization	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
