name	entity	label	dataType	idAttribute	nillable
value	subjects_primaryaffiliatedinstitute	Value (English)	String	TRUE	FALSE
description	subjects_primaryaffiliatedinstitute	Description (English)	Text	FALSE	TRUE
codesystem	subjects_primaryaffiliatedinstitute	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	subjects_primaryaffiliatedinstitute	The code within the code system	String	FALSE	TRUE
iri	subjects_primaryaffiliatedinstitute	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
