name	entity	label	dataType	idAttribute	nillable
value	genomicvariation_position_assemblyid	Value (English)	String	TRUE	FALSE
description	genomicvariation_position_assemblyid	Description (English)	Text	FALSE	TRUE
codesystem	genomicvariation_position_assemblyid	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	genomicvariation_position_assemblyid	The code within the code system	String	FALSE	TRUE
iri	genomicvariation_position_assemblyid	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
