name	entity	label	dataType	idAttribute	nillable
value	genomicvariantannotations_hgmd	Value (English)	String	TRUE	FALSE
description	genomicvariantannotations_hgmd	Description (English)	Text	FALSE	TRUE
codesystem	genomicvariantannotations_hgmd	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	genomicvariantannotations_hgmd	The code within the code system	String	FALSE	TRUE
iri	genomicvariantannotations_hgmd	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
